date,SAR Sentinel-1 Semarang,date,? Tide Smrg,date,SAR Sentinel-1 Jepara,date,? Tide Jpr,,SAR Sentinel-1 Pekalongan,,? Tide Pklgn,,,
2/18/2016,0.022,2/18/2016,,2/18/2016,0.017,2/18/2016,,3/6/2016,-0.055,3/6/2016,,,,
4/6/2016,-0.006,4/6/2016,-0.012,4/6/2016,0.000,4/6/2016,0.004,4/23/2016,-0.033,4/23/2016,,,,
5/24/2016,-0.077,5/24/2016,-0.092,5/24/2016,-0.064,5/24/2016,-0.081,6/10/2016,0.042,6/10/2016,,,,
7/11/2016,0.025,7/11/2016,-0.069,7/11/2016,0.069,7/11/2016,-0.165,7/28/2016,-0.012,7/28/2016,,,,
8/28/2016,-0.080,8/28/2016,-0.009,8/28/2016,-0.084,8/28/2016,0.107,9/14/2016,0.008,9/14/2016,,,,
10/15/2016,0.024,10/15/2016,-0.091,10/15/2016,0.061,10/15/2016,0.000,11/1/2016,0.071,11/1/2016,,,,
12/2/2016,-0.067,12/2/2016,0.076,12/2/2016,-0.066,12/2/2016,-0.008,12/19/2016,-0.050,12/19/2016,-0.008,,,
12/26/2016,0.017,12/26/2016,0.002,12/26/2016,0.030,12/26/2016,-0.005,2/17/2017,0.046,2/17/2017,,,,
3/8/2017,-0.013,3/8/2017,,3/8/2017,0.003,3/8/2017,,4/6/2017,-0.116,4/6/2017,0.022,,,
4/25/2017,-0.002,4/25/2017,0.032,4/25/2017,-0.016,4/25/2017,0.050,5/24/2017,0.072,5/24/2017,-0.045,,,
6/12/2017,-0.044,6/12/2017,-0.083,6/12/2017,-0.040,6/12/2017,-0.070,7/11/2017,-0.029,7/11/2017,-0.046,,,
7/30/2017,-0.020,7/30/2017,0.017,7/30/2017,-0.012,7/30/2017,0.031,8/28/2017,-0.004,8/28/2017,0.053,,,
9/16/2017,0.021,9/16/2017,0.009,9/16/2017,0.025,9/16/2017,0.022,10/15/2017,0.011,10/15/2017,-0.023,,,
11/3/2017,0.093,11/3/2017,-0.024,11/3/2017,0.072,11/3/2017,-0.014,12/2/2017,-0.013,12/2/2017,-0.015,,,
12/21/2017,0.010,12/21/2017,-0.085,12/21/2017,0.030,12/21/2017,-0.028,12/26/2017,0.004,12/26/2017,-0.059,,,
2/19/2018,-0.041,2/19/2018,,2/19/2018,-0.022,2/19/2018,,2/24/2018,0.001,2/24/2018,,,,
5/25/2018,0.000,5/25/2018,0.065,5/25/2018,-0.001,5/25/2018,0.070,4/13/2018,0.042,4/13/2018,0.042,,,
5/26/2018,-0.057,5/26/2018,-0.098,5/26/2018,-0.066,5/26/2018,-0.090,5/31/2018,0.014,5/31/2018,-0.106,,,
7/13/2018,0.002,7/13/2018,0.014,7/13/2018,-0.005,7/13/2018,0.022,7/18/2018,0.039,7/18/2018,0.030,,,
8/30/2018,0.015,8/30/2018,0.059,8/30/2018,0.013,8/30/2018,0.079,9/4/2018,-0.012,9/4/2018,0.051,,,
10/17/2018,-0.005,10/17/2018,-0.008,10/17/2018,0.009,10/17/2018,0.001,10/22/2018,0.038,10/22/2018,0.008,,,
12/4/2018,-0.118,12/4/2018,-0.053,12/4/2018,-0.067,12/4/2018,-0.008,12/9/2018,-0.124,12/9/2018,-0.017,,,
12/28/2018,0.039,12/28/2018,-0.032,12/28/2018,0.011,12/28/2018,0.005,12/21/2018,0.060,12/21/2018,-0.066,,,
2/26/2019,-0.016,2/26/2019,,2/26/2019,-0.020,2/26/2019,,2/19/2019,0.019,2/19/2019,,,,
4/15/2019,0.031,4/15/2019,-0.035,4/15/2019,0.036,4/15/2019,0.025,4/8/2019,0.007,4/8/2019,-0.006,,,
6/2/2019,-0.081,6/2/2019,-0.110,6/2/2019,-0.074,6/2/2019,-0.079,5/26/2019,-0.043,5/26/2019,-0.089,,,
7/20/2019,0.002,7/20/2019,0.033,7/20/2019,-0.007,7/20/2019,0.033,7/13/2019,0.030,7/13/2019,-0.004,,,
9/6/2019,0.002,9/6/2019,0.049,9/6/2019,0.000,9/6/2019,0.066,8/30/2019,-0.075,8/30/2019,0.063,,,
10/18/2019,-0.028,10/18/2019,-0.014,10/18/2019,-0.002,10/18/2019,0.007,10/17/2019,-0.045,10/17/2019,0.005,,,
11/23/2019,-0.026,11/23/2019,-0.247,11/23/2019,-0.032,11/23/2019,0.023,12/4/2019,-0.198,12/4/2019,0.022,,,
12/29/2019,-0.023,12/29/2019,-0.007,12/29/2019,0.040,12/29/2019,-0.002,12/28/2019,0.183,12/28/2019,0.019,,,
2/21/2020,0.009,2/21/2020,,2/21/2020,0.022,2/21/2020,,2/26/2020,0.004,2/26/2020,,,,
5/9/2020,-0.033,5/9/2020,-0.026,5/9/2020,-0.038,5/9/2020,0.009,4/14/2020,-0.029,4/14/2020,-0.021,,,
5/27/2020,-0.010,5/27/2020,-0.098,5/27/2020,-0.002,5/27/2020,-0.061,6/6/2020,0.008,6/6/2020,-0.130,,,
7/14/2020,-0.006,7/14/2020,-0.091,7/14/2020,0.017,7/14/2020,-0.115,7/19/2020,0.049,7/19/2020,-0.038,,,
10/18/2020,0.011,10/18/2020,0.157,10/18/2020,0.006,10/18/2020,0.102,9/5/2020,-0.027,9/5/2020,0.027,,,
10/18/2020,-0.061,10/18/2020,-0.004,10/18/2020,-0.018,10/18/2020,0.038,10/23/2020,0.100,10/23/2020,0.011,,,
12/5/2020,-0.014,12/5/2020,-0.035,12/5/2020,-0.015,12/5/2020,-0.045,11/28/2020,-0.027,11/28/2020,-0.016,,,
12/5/2020,-0.039,12/5/2020,-0.021,12/5/2020,0.001,12/5/2020,-0.023,12/22/2020,0.000,12/22/2020,0.024,,,
2/21/2021,0.038,2/21/2021,,2/21/2021,0.032,2/21/2021,,2/20/2021,0.030,2/20/2021,,,,
4/10/2021,0.010,4/10/2021,0.053,4/10/2021,0.024,4/10/2021,0.074,4/9/2021,-0.031,4/9/2021,0.048,,,
5/28/2021,0.080,5/28/2021,-0.097,5/28/2021,0.093,5/28/2021,-0.111,5/3/2021,-0.031,5/3/2021,-0.101,,,
7/15/2021,-0.130,7/15/2021,-0.034,7/15/2021,-0.151,7/15/2021,-0.034,8/7/2021,-,8/7/2021,-0.021,,,
9/1/2021,-0.002,9/1/2021,0.041,9/1/2021,-0.013,9/1/2021,0.059,9/24/2021,-0.019,9/24/2021,0.037,,,
10/19/2021,0.006,10/19/2021,0.003,10/19/2021,-0.022,10/19/2021,0.016,11/11/2021,-0.019,11/11/2021,-0.001,,,
12/6/2021,-0.035,12/6/2021,-0.059,12/6/2021,-0.012,12/6/2021,-0.035,12/29/2021,-0.002,12/29/2021,-0.089,,,
12/24/2021,-0.089,12/24/2021,-0.035,12/24/2021,-0.079,12/24/2021,-0.044,,,,,,,
