date,SAR Sentinel 1 real high Semarang,date,Tide Semarang,date,SAR Sentinel 1 real high Jepara,date,Tide Jepara,date,SAR Sentinel 1 real high Pekalongan,date,Tide Pekalongan
2/18/2016,1.569,2/18/2016,1.548,2/18/2016,0.888,2/18/2016,0.871,3/6/2016,-0.055,3/6/2016,0
4/6/2016,1.564,4/6/2016,1.56,4/6/2016,0.888,4/6/2016,0.868,4/23/2016,-0.088,4/23/2016,0
5/24/2016,1.487,5/24/2016,1.652,5/24/2016,0.825,5/24/2016,0.948,6/10/2016,-0.045,6/10/2016,0
7/11/2016,1.513,7/11/2016,1.721,7/11/2016,0.894,7/11/2016,1.113,7/28/2016,-0.057,7/28/2016,0
8/28/2016,1.432,8/28/2016,1.73,8/28/2016,0.81,8/28/2016,1.006,9/14/2016,-0.049,9/14/2016,0
10/15/2016,1.456,10/15/2016,1.82,10/15/2016,0.871,10/15/2016,1.006,11/1/2016,0.022,11/1/2016,1.465
12/2/2016,1.389,12/2/2016,1.744,12/2/2016,0.805,12/2/2016,1.014,12/19/2016,-0.028,12/19/2016,1.473
12/26/2016,1.406,12/26/2016,1.742,12/26/2016,0.835,12/26/2016,1.02,2/17/2017,1.467,2/17/2017,1.422
3/8/2017,1.623,3/8/2017,1.636,3/8/2017,0.988,3/8/2017,0.985,4/6/2017,1.351,4/6/2017,1.4
4/25/2017,1.621,4/25/2017,1.604,4/25/2017,0.972,4/25/2017,0.935,5/24/2017,1.424,5/24/2017,1.444
6/12/2017,1.577,6/12/2017,1.686,6/12/2017,0.932,6/12/2017,1.006,7/11/2017,1.395,7/11/2017,1.491
7/30/2017,1.557,7/30/2017,1.67,7/30/2017,0.92,7/30/2017,0.975,8/28/2017,1.391,8/28/2017,1.437
9/16/2017,1.578,9/16/2017,1.661,9/16/2017,0.945,9/16/2017,0.953,10/15/2017,1.402,10/15/2017,1.46
11/3/2017,1.671,11/3/2017,1.685,11/3/2017,1.017,11/3/2017,0.967,12/2/2017,1.389,12/2/2017,1.476
12/21/2017,1.681,12/21/2017,1.77,12/21/2017,1.047,12/21/2017,0.995,12/26/2017,1.393,12/26/2017,1.535
2/19/2018,1.69,2/19/2018,1.731,2/19/2018,0.908,2/19/2018,0.93,2/24/2018,1.467,2/24/2018,1.466
5/25/2018,1.69,5/25/2018,1.667,5/25/2018,0.907,5/25/2018,0.86,4/13/2018,1.509,4/13/2018,1.424
5/26/2018,1.633,5/26/2018,1.765,5/26/2018,0.841,5/26/2018,0.95,5/31/2018,1.523,5/31/2018,1.53
7/13/2018,1.636,7/13/2018,1.751,7/13/2018,0.836,7/13/2018,0.928,7/18/2018,1.561,7/18/2018,1.5
8/30/2018,1.651,8/30/2018,1.691,8/30/2018,0.849,8/30/2018,0.849,9/4/2018,1.549,9/4/2018,1.45
10/17/2018,1.646,10/17/2018,1.699,10/17/2018,0.858,10/17/2018,0.848,10/22/2018,1.587,10/22/2018,1.442
12/4/2018,1.528,12/4/2018,1.752,12/4/2018,0.791,12/4/2018,0.856,12/9/2018,1.463,12/9/2018,1.459
12/28/2018,1.567,12/28/2018,1.784,12/28/2018,0.802,12/28/2018,0.851,12/21/2018,1.524,12/21/2018,1.525
2/26/2019,1.613,2/26/2019,1.63,2/26/2019,0.81,2/26/2019,0.83,2/19/2019,1.453,2/19/2019,1.433
4/15/2019,1.645,4/15/2019,1.665,4/15/2019,0.847,4/15/2019,0.805,4/8/2019,1.46,4/8/2019,1.439
6/2/2019,1.563,6/2/2019,1.775,6/2/2019,0.773,6/2/2019,0.884,5/26/2019,1.417,5/26/2019,1.528
7/20/2019,1.566,7/20/2019,1.742,7/20/2019,0.766,7/20/2019,0.851,7/13/2019,1.447,7/13/2019,1.532
9/6/2019,1.568,9/6/2019,1.694,9/6/2019,0.766,9/6/2019,0.785,8/30/2019,1.371,8/30/2019,1.47
10/18/2019,1.54,10/18/2019,1.708,10/18/2019,0.764,10/18/2019,0.778,10/17/2019,1.326,10/17/2019,1.465
11/23/2019,1.515,11/23/2019,1.955,11/23/2019,0.732,11/23/2019,0.755,12/4/2019,1.129,12/4/2019,1.443
12/29/2019,1.491,12/29/2019,1.962,12/29/2019,0.772,12/29/2019,0.757,12/28/2019,1.312,12/28/2019,1.424
2/21/2020,1.846,2/21/2020,1.838,2/21/2020,0.913,2/21/2020,0.891,2/26/2020,1.397,2/26/2020,1.393
5/9/2020,1.813,5/9/2020,1.863,5/9/2020,0.874,5/9/2020,0.882,4/14/2020,1.368,4/14/2020,1.414
5/27/2020,1.803,5/27/2020,1.962,5/27/2020,0.872,5/27/2020,0.944,6/6/2020,1.376,6/6/2020,1.544
7/14/2020,1.797,7/14/2020,2.053,7/14/2020,0.889,7/14/2020,1.058,7/19/2020,1.424,7/19/2020,1.582
10/18/2020,1.808,10/18/2020,1.895,10/18/2020,0.895,10/18/2020,0.956,9/5/2020,1.397,9/5/2020,1.555
10/18/2020,1.747,10/18/2020,1.9,10/18/2020,0.876,10/18/2020,0.918,10/23/2020,1.498,10/23/2020,1.543
12/5/2020,1.734,12/5/2020,1.934,12/5/2020,0.862,12/5/2020,0.963,11/28/2020,1.47,11/28/2020,1.56
12/5/2020,1.695,12/5/2020,1.955,12/5/2020,0.862,12/5/2020,0.986,12/22/2020,1.47,12/22/2020,1.535
2/21/2021,2.001,2/21/2021,1.963,2/21/2021,1.01,2/21/2021,0.979,2/20/2021,1.588,2/20/2021,1.558
4/10/2021,2.011,4/10/2021,1.91,4/10/2021,1.034,4/10/2021,0.904,4/9/2021,1.556,4/9/2021,1.51
5/28/2021,2.091,5/28/2021,2.008,5/28/2021,1.127,5/28/2021,1.016,5/3/2021,1.58,5/3/2021,1.611
7/15/2021,1.961,7/15/2021,2.041,7/15/2021,0.975,7/15/2021,1.05,8/7/2021,1.58,8/7/2021,1.632
9/1/2021,1.959,9/1/2021,2,9/1/2021,0.962,9/1/2021,0.991,9/24/2021,1.576,9/24/2021,1.596
10/19/2021,1.965,10/19/2021,1.997,10/19/2021,0.94,10/19/2021,0.975,11/11/2021,1.558,11/11/2021,1.597
12/6/2021,1.93,12/6/2021,2.056,12/6/2021,0.928,12/6/2021,1.01,12/29/2021,1.683,12/29/2021,1.685
12/24/2021,1.841,12/24/2021,2.092,12/24/2021,0.849,12/24/2021,1.054,0,1.683,0,0
